Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;1,088,614.00;799,106.25
Jan 2, 2015;Jan 3, 2015;1,171,625.75;541,675.25
Jan 3, 2015;Jan 4, 2015;1,126,621.25;675,064.75
Jan 4, 2015;Jan 5, 2015;1,048,412.75;-
Jan 5, 2015;Jan 6, 2015;1,272,849.50;1,075,088.75
Jan 6, 2015;Jan 7, 2015;1,312,699.00;1,183,851.00
Jan 7, 2015;Jan 8, 2015;1,345,808.75;1,132,467.25
Jan 8, 2015;Jan 9, 2015;1,345,665.25;911,356.25
Jan 9, 2015;Jan 10, 2015;1,359,427.00;714,718.25
Jan 10, 2015;Jan 11, 2015;1,243,954.25;587,843.50
Jan 11, 2015;Jan 12, 2015;1,159,291.25;460,600.50
Jan 12, 2015;Jan 13, 2015;1,420,222.00;741,072.00
Jan 13, 2015;Jan 14, 2015;1,421,484.00;866,390.50
Jan 14, 2015;Jan 15, 2015;1,479,442.75;1,049,905.25
Jan 15, 2015;Jan 16, 2015;1,481,251.25;925,119.25
Jan 16, 2015;Jan 17, 2015;1,455,163.50;1,160,484.00
Jan 17, 2015;Jan 18, 2015;1,280,040.00;1,055,051.50
Jan 18, 2015;Jan 19, 2015;1,199,099.50;1,020,495.25
Jan 19, 2015;Jan 20, 2015;1,459,920.75;1,382,410.75
Jan 20, 2015;Jan 21, 2015;1,457,480.25;1,416,932.25
Jan 21, 2015;Jan 22, 2015;1,456,667.75;1,357,553.25
Jan 22, 2015;Jan 23, 2015;1,460,694.25;1,362,327.25
Jan 23, 2015;Jan 24, 2015;1,454,164.50;1,391,500.50
Jan 24, 2015;Jan 25, 2015;1,260,225.00;1,085,048.75
Jan 25, 2015;Jan 26, 2015;1,165,182.00;1,018,916.00
Jan 26, 2015;Jan 27, 2015;1,421,327.50;1,190,292.25
Jan 27, 2015;Jan 28, 2015;1,473,082.25;1,185,920.00
Jan 28, 2015;Jan 29, 2015;1,494,537.25;1,040,793.75
Jan 29, 2015;Jan 30, 2015;1,498,246.00;996,741.50
Jan 30, 2015;Jan 31, 2015;1,498,888.75;1,297,085.00
Jan 31, 2015;Feb 1, 2015;1,263,582.50;1,048,709.25
Feb 1, 2015;Feb 2, 2015;1,167,406.75;985,048.00
Feb 2, 2015;Feb 3, 2015;1,438,128.25;1,200,584.50
