Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;41,575,670.50;31,403,880.00
Feb 1, 2015;Mar 1, 2015;38,835,534.75;32,283,158.00
Mar 1, 2015;Apr 1, 2015;42,257,557.75;32,192,126.50
Apr 1, 2015;May 1, 2015;38,528,335.00;29,078,218.75
May 1, 2015;Jun 1, 2015;37,798,975.75;27,548,247.75
Jun 1, 2015;Jul 1, 2015;36,070,582.00;27,115,467.75
Jul 1, 2015;Aug 1, 2015;39,775,330.00;28,538,653.25
Aug 1, 2015;Sep 1, 2015;39,054,109.50;30,261,181.00
Sep 1, 2015;Oct 1, 2015;38,783,767.50;29,925,756.25
Oct 1, 2015;Nov 1, 2015;40,371,291.50;33,711,383.00
Nov 1, 2015;Dec 1, 2015;40,862,761.75;27,786,506.75
Dec 1, 2015;Jan 1, 2016;41,267,823.75;28,271,772.00
Jan 1, 2016;Feb 1, 2016;41,499,763.75;31,689,215.00
Feb 1, 2016;Mar 1, 2016;40,105,448.00;29,214,868.50
Mar 1, 2016;Apr 1, 2016;40,990,405.25;33,037,840.00
Apr 1, 2016;May 1, 2016;37,649,592.00;27,886,994.00
May 1, 2016;Jun 1, 2016;37,356,620.00;26,368,371.25
Jun 1, 2016;Jul 1, 2016;37,603,656.50;29,533,093.00
Jul 1, 2016;Aug 1, 2016;38,614,322.00;28,822,005.00
Aug 1, 2016;Sep 1, 2016;38,069,074.50;28,454,598.50
Sep 1, 2016;Oct 1, 2016;37,914,680.00;29,784,525.00
Oct 1, 2016;Nov 1, 2016;39,998,590.50;32,652,171.00
Nov 1, 2016;Dec 1, 2016;41,820,738.75;32,998,842.00
Dec 1, 2016;Jan 1, 2017;41,681,296.50;31,496,905.50
Jan 1, 2017;Feb 1, 2017;44,061,384.50;35,399,490.75
Feb 1, 2017;Mar 1, 2017;40,939,724.50;29,790,329.50
Mar 1, 2017;Apr 1, 2017;43,019,250.25;30,719,561.50
Apr 1, 2017;May 1, 2017;38,199,680.00;26,138,403.25
May 1, 2017;Jun 1, 2017;39,566,667.25;28,799,312.25
Jun 1, 2017;Jul 1, 2017;38,587,045.50;26,184,795.75
Jul 1, 2017;Aug 1, 2017;39,571,951.25;29,355,751.25
Aug 1, 2017;Sep 1, 2017;38,906,990.50;28,856,101.00
Sep 1, 2017;Oct 1, 2017;38,121,188.50;28,818,088.75
Oct 1, 2017;Nov 1, 2017;40,777,551.25;26,493,326.00
Nov 1, 2017;Dec 1, 2017;42,813,699.50;31,697,287.50
