Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
05.01.2015;12.01.2015;9.039.695,00;6.065.925,50
12.01.2015;19.01.2015;9.736.703,00;6.818.517,75
19.01.2015;26.01.2015;9.714.334,50;9.014.688,75
26.01.2015;02.02.2015;9.817.071,00;7.744.589,75
02.02.2015;09.02.2015;9.706.796,25;8.188.388,00
09.02.2015;16.02.2015;9.694.217,75;8.307.899,50
16.02.2015;23.02.2015;9.705.394,50;7.939.834,75
23.02.2015;02.03.2015;9.758.994,25;7.539.702,75
02.03.2015;09.03.2015;9.795.569,75;7.081.881,25
09.03.2015;16.03.2015;9.714.742,25;8.051.642,25
16.03.2015;23.03.2015;9.387.906,25;7.480.254,25
23.03.2015;30.03.2015;9.315.182,50;7.488.333,75
30.03.2015;06.04.2015;9.164.976,75;5.712.232,25
06.04.2015;13.04.2015;8.865.114,75;6.868.456,50
13.04.2015;20.04.2015;9.022.828,25;6.616.403,25
20.04.2015;27.04.2015;8.929.539,00;6.986.127,75
27.04.2015;04.05.2015;8.665.816,00;6.900.141,00
04.05.2015;11.05.2015;8.946.680,75;6.043.692,75
11.05.2015;18.05.2015;8.523.423,75;5.966.167,75
18.05.2015;25.05.2015;8.681.649,75;6.925.838,75
25.05.2015;01.06.2015;8.374.164,00;6.019.706,50
01.06.2015;08.06.2015;8.404.838,00;5.731.195,25
08.06.2015;15.06.2015;8.376.396,75;6.424.080,50
15.06.2015;22.06.2015;8.365.990,75;6.408.900,25
22.06.2015;29.06.2015;8.342.841,75;6.459.777,50
29.06.2015;06.07.2015;8.725.342,25;6.545.356,75
06.07.2015;13.07.2015;8.890.734,00;5.911.652,75
13.07.2015;20.07.2015;9.039.154,00;7.315.390,00
20.07.2015;27.07.2015;8.907.468,00;6.508.112,75
27.07.2015;03.08.2015;9.005.151,25;6.085.577,75
03.08.2015;10.08.2015;8.684.493,00;6.709.632,75
10.08.2015;17.08.2015;8.818.948,00;6.995.256,75
17.08.2015;24.08.2015;8.727.232,00;6.922.478,00
24.08.2015;31.08.2015;9.242.013,25;6.819.978,25
31.08.2015;07.09.2015;9.231.772,50;6.498.023,75
07.09.2015;14.09.2015;9.048.502,00;7.186.300,00
14.09.2015;21.09.2015;9.214.757,00;6.747.705,00
21.09.2015;28.09.2015;-;-
28.09.2015;05.10.2015;8.844.570,50;7.241.195,50
05.10.2015;12.10.2015;9.008.490,75;7.334.756,25
12.10.2015;19.10.2015;9.115.723,50;7.730.102,25
19.10.2015;26.10.2015;9.275.027,25;7.833.173,25
26.10.2015;02.11.2015;9.249.671,75;7.730.348,50
02.11.2015;09.11.2015;9.279.315,00;7.587.455,00
09.11.2015;16.11.2015;9.577.179,25;5.457.731,75
16.11.2015;23.11.2015;9.742.678,25;5.975.254,75
23.11.2015;30.11.2015;9.709.658,25;7.056.472,50
30.11.2015;07.12.2015;10.017.069,00;6.298.238,25
07.12.2015;14.12.2015;9.883.301,75;7.205.524,50
14.12.2015;21.12.2015;9.559.374,75;7.531.951,00
21.12.2015;28.12.2015;8.466.402,00;4.584.832,75
28.12.2015;04.01.2016;7.916.456,00;5.491.329,00
04.01.2016;11.01.2016;8.799.742,00;6.529.421,25
11.01.2016;18.01.2016;9.541.894,75;8.112.793,00
18.01.2016;25.01.2016;9.972.240,00;8.742.125,50
25.01.2016;01.02.2016;10.067.412,00;6.228.474,25
01.02.2016;08.02.2016;9.862.140,00;6.206.830,00
08.02.2016;15.02.2016;9.657.500,25;6.827.390,75
15.02.2016;22.02.2016;9.545.029,50;7.482.833,75
22.02.2016;29.02.2016;9.630.782,25;7.583.157,75
29.02.2016;07.03.2016;9.565.106,25;7.924.368,25
07.03.2016;14.03.2016;9.523.070,00;8.251.122,50
14.03.2016;21.03.2016;9.497.257,00;7.731.768,75
21.03.2016;28.03.2016;8.756.289,25;6.807.755,50
28.03.2016;04.04.2016;8.543.500,75;6.078.655,75
04.04.2016;11.04.2016;8.897.125,75;6.884.765,75
11.04.2016;18.04.2016;8.708.384,50;6.753.854,25
