Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2015;01.01.2016;475.181.739,75;358.116.351,00
01.01.2016;01.01.2017;473.304.187,75;361.939.428,75
01.01.2017;01.01.2018;487.946.703,50;350.647.552,75
01.01.2018;01.01.2019;494.716.859,25;345.638.934,75
01.01.2019;01.01.2020;478.791.398,00;314.228.422,00
01.01.2020;01.01.2021;474.896.496,50;299.412.866,25
01.01.2021;01.01.2022;489.149.868,50;329.136.577,50
01.01.2022;01.01.2023;489.060.843,50;309.653.461,50
01.01.2023;01.01.2024;459.886.534,75;262.635.003,50
01.01.2024;01.01.2025;-;-
