Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;45,142,690.25;35,239,769.75;646,445.50
Feb 1, 2015;Mar 1, 2015;42,095,506.50;35,576,038.50;533,248.25
Mar 1, 2015;Apr 1, 2015;44,331,785.00;34,549,261.50;641,050.50
Apr 1, 2015;May 1, 2015;40,041,540.00;30,603,270.25;593,992.50
May 1, 2015;Jun 1, 2015;39,296,911.00;29,622,525.25;594,516.50
Jun 1, 2015;Jul 1, 2015;39,224,434.00;30,576,506.25;484,617.50
Jul 1, 2015;Aug 1, 2015;41,394,974.00;30,614,302.50;570,539.50
Aug 1, 2015;Sep 1, 2015;40,015,228.00;31,544,626.25;590,668.00
Sep 1, 2015;Oct 1, 2015;40,354,012.25;31,579,854.50;570,267.75
Oct 1, 2015;Nov 1, 2015;42,769,262.25;36,839,833.75;619,325.50
Nov 1, 2015;Dec 1, 2015;43,290,604.50;31,599,712.00;674,530.00
Dec 1, 2015;Jan 1, 2016;42,262,554.75;29,817,912.50;719,312.25
Jan 1, 2016;Feb 1, 2016;44,951,910.75;34,891,598.25;1,014,180.25
Feb 1, 2016;Mar 1, 2016;42,798,190.75;31,644,206.50;897,817.00
Mar 1, 2016;Apr 1, 2016;43,741,831.75;35,290,684.25;805,084.00
Apr 1, 2016;May 1, 2016;40,576,074.75;30,848,557.00;760,764.50
May 1, 2016;Jun 1, 2016;40,147,380.75;29,286,048.75;854,156.50
Jun 1, 2016;Jul 1, 2016;39,703,667.00;31,606,937.25;767,476.25
Jul 1, 2016;Aug 1, 2016;40,551,197.75;30,880,274.00;748,791.00
Aug 1, 2016;Sep 1, 2016;40,132,670.25;30,618,672.50;777,742.50
Sep 1, 2016;Oct 1, 2016;39,402,839.75;31,335,923.50;773,972.75
Oct 1, 2016;Nov 1, 2016;42,262,730.00;34,934,382.50;948,131.75
Nov 1, 2016;Dec 1, 2016;44,377,660.00;35,370,047.75;1,018,712.75
Dec 1, 2016;Jan 1, 2017;44,437,478.25;34,469,480.00;1,064,447.00
Jan 1, 2017;Feb 1, 2017;47,301,200.25;38,734,939.25;778,529.50
Feb 1, 2017;Mar 1, 2017;42,100,201.00;30,741,216.00;744,737.25
Mar 1, 2017;Apr 1, 2017;44,319,006.00;31,757,112.50;811,232.50
Apr 1, 2017;May 1, 2017;39,933,859.50;27,992,924.75;748,242.00
May 1, 2017;Jun 1, 2017;41,034,028.75;30,271,544.75;703,380.75
Jun 1, 2017;Jul 1, 2017;39,360,481.25;26,888,822.00;666,934.50
Jul 1, 2017;Aug 1, 2017;40,478,579.50;30,097,953.00;576,968.75
Aug 1, 2017;Sep 1, 2017;40,131,363.00;30,018,242.25;600,534.50
Sep 1, 2017;Oct 1, 2017;39,909,208.25;30,518,083.75;658,390.00
Oct 1, 2017;Nov 1, 2017;42,373,252.25;27,709,514.50;758,191.00
