Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 5, 2015;Jan 12, 2015;10,110,380.50;7,082,331.25;148,016.25
Jan 12, 2015;Jan 19, 2015;10,371,278.50;7,556,394.25;147,601.00
Jan 19, 2015;Jan 26, 2015;10,592,825.50;10,027,368.50;134,661.25
Jan 26, 2015;Feb 2, 2015;10,541,589.75;8,727,349.25;134,124.25
Feb 2, 2015;Feb 9, 2015;10,736,806.25;9,170,901.50;131,963.75
Feb 9, 2015;Feb 16, 2015;10,535,999.00;9,234,291.50;131,464.25
Feb 16, 2015;Feb 23, 2015;10,410,399.25;8,619,945.75;134,991.75
Feb 23, 2015;Mar 2, 2015;10,396,684.00;8,188,808.50;137,200.50
Mar 2, 2015;Mar 9, 2015;10,238,004.00;7,513,878.75;155,511.50
Mar 9, 2015;Mar 16, 2015;10,085,572.25;8,506,117.00;121,480.75
Mar 16, 2015;Mar 23, 2015;9,890,324.25;8,047,277.25;151,078.00
Mar 23, 2015;Mar 30, 2015;9,861,786.75;8,009,127.75;146,203.00
Mar 30, 2015;Apr 6, 2015;9,470,049.00;6,251,433.75;148,017.50
Apr 6, 2015;Apr 13, 2015;9,167,328.50;7,152,298.50;131,681.50
Apr 13, 2015;Apr 20, 2015;9,480,876.50;7,045,689.50;155,535.00
Apr 20, 2015;Apr 27, 2015;9,250,641.00;7,298,148.50;130,199.50
Apr 27, 2015;May 4, 2015;8,972,028.00;7,210,280.50;124,963.25
May 4, 2015;May 11, 2015;9,316,097.75;6,550,366.50;133,355.25
May 11, 2015;May 18, 2015;8,730,225.50;6,396,912.75;128,856.75
May 18, 2015;May 25, 2015;9,158,525.50;7,464,749.25;128,242.50
May 25, 2015;Jun 1, 2015;8,814,038.00;6,585,259.50;151,849.25
Jun 1, 2015;Jun 8, 2015;8,923,533.25;6,187,694.75;147,415.25
Jun 8, 2015;Jun 15, 2015;9,245,816.25;7,478,365.75;108,081.25
Jun 15, 2015;Jun 22, 2015;9,124,041.75;7,264,225.50;91,919.75
Jun 22, 2015;Jun 29, 2015;9,187,576.75;7,385,327.25;113,150.75
Jun 29, 2015;Jul 6, 2015;9,383,964.00;7,288,638.50;127,887.00
Jul 6, 2015;Jul 13, 2015;9,322,383.50;6,620,543.00;129,174.75
Jul 13, 2015;Jul 20, 2015;9,311,168.50;7,557,954.00;115,868.00
Jul 20, 2015;Jul 27, 2015;9,289,656.50;6,896,860.25;125,057.25
Jul 27, 2015;Aug 3, 2015;9,011,495.75;6,245,856.25;133,206.75
Aug 3, 2015;Aug 10, 2015;9,088,514.75;7,127,886.25;135,980.75
Aug 10, 2015;Aug 17, 2015;9,107,485.00;7,334,058.75;129,645.00
Aug 17, 2015;Aug 24, 2015;8,998,051.25;7,312,803.50;134,697.75
Aug 24, 2015;Aug 31, 2015;9,245,030.75;6,901,063.75;136,118.25
Aug 31, 2015;Sep 7, 2015;9,313,512.25;6,750,598.00;148,122.50
Sep 7, 2015;Sep 14, 2015;9,286,132.50;7,524,564.50;114,128.00
Sep 14, 2015;Sep 21, 2015;9,441,442.25;7,037,538.50;126,364.50
Sep 21, 2015;Sep 28, 2015;9,416,339.75;7,941,295.50;138,971.25
Sep 28, 2015;Oct 5, 2015;9,276,410.00;7,602,162.25;138,655.25
Oct 5, 2015;Oct 12, 2015;9,496,883.75;7,785,023.25;135,898.00
Oct 12, 2015;Oct 19, 2015;9,858,702.75;8,764,951.50;141,762.25
Oct 19, 2015;Oct 26, 2015;9,832,251.00;8,651,501.50;138,108.50
Oct 26, 2015;Nov 2, 2015;9,741,348.00;8,469,531.75;146,593.75
Nov 2, 2015;Nov 9, 2015;9,823,575.00;8,272,342.00;143,716.75
Nov 9, 2015;Nov 16, 2015;10,036,516.00;6,366,213.50;165,704.00
Nov 16, 2015;Nov 23, 2015;10,202,291.00;6,929,866.00;166,159.00
Nov 23, 2015;Nov 30, 2015;10,523,721.25;8,109,460.00;155,019.50
Nov 30, 2015;Dec 7, 2015;10,344,324.00;6,857,356.50;162,857.75
Dec 7, 2015;Dec 14, 2015;10,332,981.25;7,883,466.75;156,152.75
Dec 14, 2015;Dec 21, 2015;9,977,163.50;8,037,484.50;145,147.25
Dec 21, 2015;Dec 28, 2015;8,338,881.50;4,417,463.00;169,027.00
Dec 28, 2015;Jan 4, 2016;8,260,219.50;6,026,228.25;196,966.50
Jan 4, 2016;Jan 11, 2016;9,963,276.00;7,792,247.25;227,788.75
Jan 11, 2016;Jan 18, 2016;10,463,529.25;8,859,184.00;226,931.50
Jan 18, 2016;Jan 25, 2016;10,772,705.75;9,469,844.75;235,915.75
Jan 25, 2016;Feb 1, 2016;10,322,056.25;6,314,745.25;235,247.75
Feb 1, 2016;Feb 8, 2016;10,302,315.50;6,717,309.00;242,368.50
Feb 8, 2016;Feb 15, 2016;10,275,475.00;7,351,847.75;217,318.00
Feb 15, 2016;Feb 22, 2016;10,481,915.50;8,293,808.25;210,742.00
Feb 22, 2016;Feb 29, 2016;10,219,623.25;8,056,733.75;201,664.50
Feb 29, 2016;Mar 7, 2016;10,266,786.25;8,472,188.75;196,100.50
Mar 7, 2016;Mar 14, 2016;10,114,837.50;8,749,300.75;181,662.50
Mar 14, 2016;Mar 21, 2016;10,034,026.50;8,206,234.75;166,194.50
Mar 21, 2016;Mar 28, 2016;9,377,769.75;7,333,577.00;166,886.75
Mar 28, 2016;Apr 4, 2016;9,239,727.75;6,770,982.25;207,929.50
Apr 4, 2016;Apr 11, 2016;9,482,230.25;7,337,785.75;180,703.50
Apr 11, 2016;Apr 18, 2016;9,461,640.50;7,501,687.00;166,748.25
Apr 18, 2016;Apr 25, 2016;9,373,869.25;6,841,738.75;173,525.25
Apr 25, 2016;May 2, 2016;9,547,467.00;6,871,961.75;203,366.75
May 2, 2016;May 9, 2016;8,850,206.50;5,994,867.25;207,373.50
May 9, 2016;May 16, 2016;9,341,980.25;5,999,395.75;195,029.25
May 16, 2016;May 23, 2016;9,003,762.00;6,836,608.50;181,854.75
May 23, 2016;May 30, 2016;9,054,935.25;7,529,916.75;168,914.25
May 30, 2016;Jun 6, 2016;9,294,057.00;7,485,111.50;175,513.25
Jun 6, 2016;Jun 13, 2016;9,158,561.75;7,284,554.50;155,677.50
Jun 13, 2016;Jun 20, 2016;9,205,906.25;7,592,297.25;186,629.25
Jun 20, 2016;Jun 27, 2016;9,235,820.25;7,086,525.50;197,054.75
Jun 27, 2016;Jul 4, 2016;9,293,920.75;6,858,823.25;197,195.75
Jul 4, 2016;Jul 11, 2016;9,318,434.50;6,439,679.25;196,822.75
Jul 11, 2016;Jul 18, 2016;9,250,530.00;6,875,170.75;169,216.25
Jul 18, 2016;Jul 25, 2016;9,236,491.00;7,498,675.50;146,616.25
Jul 25, 2016;Aug 1, 2016;9,096,053.25;7,569,926.50;140,981.25
Aug 1, 2016;Aug 8, 2016;8,942,337.00;6,741,828.25;167,473.25
Aug 8, 2016;Aug 15, 2016;8,917,781.50;6,460,050.50;185,092.50
Aug 15, 2016;Aug 22, 2016;8,885,716.00;7,118,970.00;175,553.50
Aug 22, 2016;Aug 29, 2016;9,227,638.75;7,015,138.25;175,819.25
Aug 29, 2016;Sep 5, 2016;9,150,334.75;7,196,717.50;176,887.75
Sep 5, 2016;Sep 12, 2016;9,120,627.75;7,452,303.50;183,678.75
Sep 12, 2016;Sep 19, 2016;9,202,492.50;7,130,933.75;180,313.25
Sep 19, 2016;Sep 26, 2016;9,040,508.25;7,712,054.50;171,965.00
Sep 26, 2016;Oct 3, 2016;9,294,623.50;6,946,131.25;192,268.50
Oct 3, 2016;Oct 10, 2016;9,298,292.50;7,200,897.50;181,388.75
Oct 10, 2016;Oct 17, 2016;9,772,266.75;7,826,341.50;239,523.75
Oct 17, 2016;Oct 24, 2016;9,803,561.25;8,575,375.25;214,219.75
Oct 24, 2016;Oct 31, 2016;9,826,144.00;8,311,318.75;232,732.00
Oct 31, 2016;Nov 7, 2016;9,660,166.25;7,877,026.75;229,412.75
Nov 7, 2016;Nov 14, 2016;10,404,044.00;9,285,419.50;238,849.75
Nov 14, 2016;Nov 21, 2016;10,475,496.50;7,049,651.50;246,128.75
Nov 21, 2016;Nov 28, 2016;10,317,029.25;8,606,374.00;233,230.75
Nov 28, 2016;Dec 5, 2016;10,680,857.00;8,296,280.25;229,130.00
Dec 5, 2016;Dec 12, 2016;10,708,084.00;8,198,407.00;249,923.50
Dec 12, 2016;Dec 19, 2016;10,526,634.50;9,525,439.25;228,502.25
Dec 19, 2016;Dec 26, 2016;9,909,337.50;7,239,117.25;252,408.75
Dec 26, 2016;Jan 2, 2017;8,584,529.25;5,756,397.25;225,950.50
Jan 2, 2017;Jan 9, 2017;10,272,227.50;7,874,855.50;150,338.25
Jan 9, 2017;Jan 16, 2017;10,800,514.50;7,813,403.25;185,089.00
