Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;1,409,189.00;289,507.75;6,338.50;267,979.00;15,190.25;1,119,681.25
Jan 2, 2015;Jan 3, 2015;1,701,039.00;629,950.50;14,917.50;608,616.00;6,417.00;1,071,088.50
Jan 3, 2015;Jan 4, 2015;1,536,759.00;451,556.50;15,044.00;430,076.00;6,436.50;1,085,202.50
Jan 4, 2015;Jan 5, 2015;1,464,080.00;-;-;378,193.75;19,470.00;-
Jan 5, 2015;Jan 6, 2015;1,676,326.00;197,760.75;8,224.50;170,215.25;19,321.00;1,478,565.25
Jan 6, 2015;Jan 7, 2015;1,578,908.00;128,848.00;8,851.75;87,802.75;32,193.50;1,450,060.00
Jan 7, 2015;Jan 8, 2015;1,794,842.00;213,341.50;12,337.75;189,753.75;11,250.00;1,581,500.50
Jan 8, 2015;Jan 9, 2015;1,854,583.00;434,309.00;14,148.75;413,060.25;7,100.00;1,420,274.00
Jan 9, 2015;Jan 10, 2015;1,875,534.00;644,708.75;11,550.75;625,594.00;7,564.00;1,230,825.25
Jan 10, 2015;Jan 11, 2015;1,698,779.00;656,110.75;10,732.25;636,264.50;9,114.00;1,042,668.25
Jan 11, 2015;Jan 12, 2015;1,593,848.00;698,690.75;14,225.00;662,694.00;21,771.75;895,157.25
Jan 12, 2015;Jan 13, 2015;1,886,286.00;679,150.00;14,920.00;650,490.75;13,739.25;1,207,136.00
Jan 13, 2015;Jan 14, 2015;1,820,404.00;555,093.50;12,141.00;495,247.50;47,705.00;1,265,310.50
Jan 14, 2015;Jan 15, 2015;1,896,000.00;429,537.50;14,207.25;396,250.50;19,079.75;1,466,462.50
Jan 15, 2015;Jan 16, 2015;1,891,574.00;556,132.00;14,876.50;526,981.75;14,273.75;1,335,442.00
Jan 16, 2015;Jan 17, 2015;1,742,582.00;294,679.50;12,509.75;257,195.25;24,974.50;1,447,902.50
Jan 17, 2015;Jan 18, 2015;1,625,316.00;224,988.50;12,884.25;189,153.25;22,951.00;1,400,327.50
Jan 18, 2015;Jan 19, 2015;1,512,289.00;178,604.25;6,591.50;136,250.25;35,762.50;1,333,684.75
Jan 19, 2015;Jan 20, 2015;1,702,732.00;77,510.00;487.75;44,409.00;32,613.25;1,625,222.00
Jan 20, 2015;Jan 21, 2015;1,710,962.00;40,548.00;910.00;22,596.00;17,042.00;1,670,414.00
Jan 21, 2015;Jan 22, 2015;1,761,652.00;99,114.50;1,903.75;52,291.50;44,919.25;1,662,537.50
Jan 22, 2015;Jan 23, 2015;1,758,703.00;98,367.00;1,281.50;77,645.00;19,440.50;1,660,336.00
Jan 23, 2015;Jan 24, 2015;1,697,589.00;62,664.00;4,068.50;40,961.25;17,634.25;1,634,925.00
Jan 24, 2015;Jan 25, 2015;1,613,907.00;175,176.25;12,707.75;147,609.75;14,858.75;1,438,730.75
Jan 25, 2015;Jan 26, 2015;1,513,100.00;146,266.00;6,857.00;125,358.50;14,050.50;1,366,834.00
Jan 26, 2015;Jan 27, 2015;1,829,463.00;231,035.25;13,187.00;209,179.50;8,668.75;1,598,427.75
Jan 27, 2015;Jan 28, 2015;1,849,913.00;287,162.25;11,660.25;259,425.75;16,076.25;1,562,750.75
Jan 28, 2015;Jan 29, 2015;1,916,159.00;453,743.50;15,481.00;427,075.25;11,187.25;1,462,415.50
Jan 29, 2015;Jan 30, 2015;1,897,491.00;501,504.50;13,147.00;470,620.75;17,736.75;1,395,986.50
Jan 30, 2015;Jan 31, 2015;1,807,919.00;201,803.75;2,741.00;180,356.25;18,706.50;1,606,115.25
Jan 31, 2015;Feb 1, 2015;1,615,887.00;214,873.25;1,487.00;192,956.25;20,430.00;1,401,013.75
Feb 1, 2015;Feb 2, 2015;1,414,463.00;182,358.75;7,111.50;157,966.75;17,280.50;1,232,104.25
Feb 2, 2015;Feb 3, 2015;1,854,367.00;237,543.75;9,763.25;205,526.25;22,254.25;1,616,823.25
Feb 3, 2015;Feb 4, 2015;1,780,173.00;132,428.25;5,939.25;97,104.25;29,384.75;1,647,744.75
Feb 4, 2015;Feb 5, 2015;1,721,489.00;72,196.25;4,206.25;37,131.75;30,858.25;1,649,292.75
Feb 5, 2015;Feb 6, 2015;1,789,873.00;132,648.50;4,842.00;99,791.00;28,015.50;1,657,224.50
Feb 6, 2015;Feb 7, 2015;1,844,127.00;187,681.00;1,804.50;141,592.75;44,283.75;1,656,446.00
Feb 7, 2015;Feb 8, 2015;1,625,690.00;332,215.25;13,937.75;282,708.25;35,569.25;1,293,474.75
Feb 8, 2015;Feb 9, 2015;1,544,520.00;423,695.25;16,432.75;364,516.00;42,746.50;1,120,824.75
Feb 9, 2015;Feb 10, 2015;1,821,879.00;385,976.25;17,402.00;356,939.25;11,635.00;1,435,902.75
Feb 10, 2015;Feb 11, 2015;1,770,437.00;177,214.00;10,887.75;147,327.00;18,999.25;1,593,223.00
Feb 11, 2015;Feb 12, 2015;1,731,520.00;72,401.75;1,668.75;30,120.50;40,612.50;1,659,118.25
Feb 12, 2015;Feb 13, 2015;1,757,086.00;99,028.75;1,194.75;33,655.50;64,178.50;1,658,057.25
Feb 13, 2015;Feb 14, 2015;1,852,341.00;198,390.00;9,937.75;113,860.50;74,591.75;1,653,951.00
Feb 14, 2015;Feb 15, 2015;1,662,380.00;200,562.75;9,898.25;131,015.25;59,649.25;1,461,817.25
Feb 15, 2015;Feb 16, 2015;1,516,654.00;252,744.75;16,712.00;162,372.00;73,660.75;1,263,909.25
Feb 16, 2015;Feb 17, 2015;1,770,082.00;245,340.00;10,237.50;167,388.00;67,714.50;1,524,742.00
Feb 17, 2015;Feb 18, 2015;1,749,661.00;127,720.75;5,678.50;65,877.25;56,165.00;1,621,940.25
Feb 18, 2015;Feb 19, 2015;1,807,749.00;189,903.75;17,156.00;117,244.50;55,503.25;1,617,845.25
Feb 19, 2015;Feb 20, 2015;1,879,631.00;306,025.75;19,819.50;212,674.75;73,531.50;1,573,605.25
Feb 20, 2015;Feb 21, 2015;1,860,273.00;358,238.25;13,662.25;288,633.00;55,943.00;1,502,034.75
Feb 21, 2015;Feb 22, 2015;1,598,734.00;315,320.75;4,304.00;270,495.75;40,521.00;1,283,413.25
Feb 22, 2015;Feb 23, 2015;1,529,598.00;223,010.50;11,775.75;154,727.50;56,507.25;1,306,587.50
Feb 23, 2015;Feb 24, 2015;1,848,820.00;403,472.25;15,268.50;365,288.00;22,915.75;1,445,347.75
Feb 24, 2015;Feb 25, 2015;1,906,716.00;388,298.25;18,648.50;317,393.00;52,256.75;1,518,417.75
Feb 25, 2015;Feb 26, 2015;1,818,834.00;187,495.75;7,712.25;120,872.75;58,910.75;1,631,338.25
Feb 26, 2015;Feb 27, 2015;1,844,958.00;252,951.75;11,714.50;159,241.00;81,996.25;1,592,006.25
Feb 27, 2015;Feb 28, 2015;1,825,842.00;199,421.75;7,453.75;130,110.50;61,857.50;1,626,420.25
Feb 28, 2015;Mar 1, 2015;1,663,602.00;268,092.00;14,721.25;176,755.75;76,615.00;1,395,510.00
Mar 1, 2015;Mar 2, 2015;1,631,347.00;519,559.75;19,041.00;476,678.50;23,840.25;1,111,787.25
Mar 2, 2015;Mar 3, 2015;1,852,935.00;556,495.00;18,439.75;477,818.50;60,236.75;1,296,440.00
Mar 3, 2015;Mar 4, 2015;1,873,224.00;518,382.25;17,100.00;407,499.00;93,783.25;1,354,841.75
Mar 4, 2015;Mar 5, 2015;1,887,161.00;490,253.00;18,301.75;382,184.50;89,766.75;1,396,908.00
Mar 5, 2015;Mar 6, 2015;1,786,045.00;248,618.75;11,083.75;153,205.50;84,329.50;1,537,426.25
Mar 6, 2015;Mar 7, 2015;1,738,344.00;200,960.25;17,833.50;120,716.00;62,410.75;1,537,383.75
Mar 7, 2015;Mar 8, 2015;1,598,922.00;362,863.50;20,511.00;229,143.25;113,209.25;1,236,058.50
Mar 8, 2015;Mar 9, 2015;1,519,140.00;336,115.75;18,865.25;181,509.00;135,741.50;1,183,024.25
Mar 9, 2015;Mar 10, 2015;1,717,277.00;176,122.50;8,670.00;62,719.75;104,732.75;1,541,154.50
Mar 10, 2015;Mar 11, 2015;1,765,481.00;222,119.25;16,282.50;113,242.00;92,594.75;1,543,361.75
Mar 11, 2015;Mar 12, 2015;1,782,013.00;248,219.25;6,395.25;125,284.75;116,539.25;1,533,793.75
Mar 12, 2015;Mar 13, 2015;1,768,366.00;185,801.50;6,171.50;73,504.25;106,125.75;1,582,564.50
Mar 13, 2015;Mar 14, 2015;1,783,576.00;245,469.75;16,102.25;131,516.00;97,851.50;1,538,106.25
Mar 14, 2015;Mar 15, 2015;1,592,568.00;249,280.50;17,501.75;167,357.00;64,421.75;1,343,287.50
Mar 15, 2015;Mar 16, 2015;1,451,074.00;336,087.25;19,647.25;238,238.50;78,201.50;1,114,986.75
Mar 16, 2015;Mar 17, 2015;1,778,397.00;466,513.25;21,030.50;326,755.75;118,727.00;1,311,883.75
Mar 17, 2015;Mar 18, 2015;1,772,956.00;335,788.75;12,138.00;194,131.25;129,519.50;1,437,167.25
Mar 18, 2015;Mar 19, 2015;1,801,886.00;251,303.00;3,230.00;99,353.25;148,719.75;1,550,583.00
Mar 19, 2015;Mar 20, 2015;1,773,951.00;186,678.25;7,008.50;41,259.75;138,410.00;1,587,272.75
Mar 20, 2015;Mar 21, 2015;1,747,207.00;185,050.75;6,165.50;37,625.75;141,259.50;1,562,156.25
Mar 21, 2015;Mar 22, 2015;1,532,208.00;242,062.75;15,761.75;157,744.25;68,556.75;1,290,145.25
Mar 22, 2015;Mar 23, 2015;1,434,805.00;240,255.25;5,035.25;127,629.25;107,590.75;1,194,549.75
Mar 23, 2015;Mar 24, 2015;1,674,581.00;211,346.00;14,819.50;54,068.75;142,457.75;1,463,235.00
Mar 24, 2015;Mar 25, 2015;1,658,140.00;134,107.50;2,029.00;28,954.25;103,124.25;1,524,032.50
Mar 25, 2015;Mar 26, 2015;1,681,086.00;243,180.75;8,860.75;122,610.25;111,709.75;1,437,905.25
Mar 26, 2015;Mar 27, 2015;1,670,752.00;187,487.25;11,134.00;128,547.00;47,806.25;1,483,264.75
Mar 27, 2015;Mar 28, 2015;1,682,060.00;267,640.50;8,008.50;187,775.25;71,856.75;1,414,419.50
Mar 28, 2015;Mar 29, 2015;1,501,294.00;311,760.25;16,636.50;202,673.00;92,450.75;1,189,533.75
Mar 29, 2015;Mar 30, 2015;1,498,529.00;471,326.50;19,992.75;424,793.50;26,540.25;1,027,202.50
Mar 30, 2015;Mar 31, 2015;1,809,212.00;707,714.00;26,900.50;598,424.75;82,388.75;1,101,498.00
Mar 31, 2015;Apr 1, 2015;1,787,026.00;726,868.25;26,346.25;651,523.00;48,999.00;1,060,157.75
Apr 1, 2015;Apr 2, 2015;1,885,153.00;769,817.50;27,403.00;649,774.25;92,640.25;1,115,335.50
Apr 2, 2015;Apr 3, 2015;1,749,916.00;493,864.00;23,292.00;395,466.00;75,106.00;1,256,052.00
Apr 3, 2015;Apr 4, 2015;1,412,005.00;329,348.00;9,146.75;195,360.50;124,840.75;1,082,657.00
Apr 4, 2015;Apr 5, 2015;1,394,693.00;174,090.50;7,625.50;64,983.25;101,481.75;1,220,602.50
Apr 5, 2015;Apr 6, 2015;1,301,776.00;251,042.25;3,261.25;71,236.00;176,545.00;1,050,733.75
Apr 6, 2015;Apr 7, 2015;1,267,122.00;211,919.25;2,998.25;82,369.00;126,552.00;1,055,202.75
Apr 7, 2015;Apr 8, 2015;1,648,868.00;296,587.75;10,158.00;121,227.00;165,202.75;1,352,280.25
Apr 8, 2015;Apr 9, 2015;1,663,387.00;228,901.00;9,305.50;105,120.00;114,475.50;1,434,486.00
Apr 9, 2015;Apr 10, 2015;1,662,268.00;184,390.50;421.50;27,530.50;156,438.50;1,477,877.50
Apr 10, 2015;Apr 11, 2015;1,702,122.00;210,877.00;2,026.00;34,545.25;174,305.75;1,491,245.00
Apr 11, 2015;Apr 12, 2015;1,540,128.00;410,094.25;21,471.50;262,406.25;126,216.50;1,130,033.75
Apr 12, 2015;Apr 13, 2015;1,441,479.00;453,888.50;26,370.50;264,700.50;162,817.50;987,590.50
Apr 13, 2015;Apr 14, 2015;1,702,346.00;510,783.75;18,842.50;352,215.00;139,726.25;1,191,562.25
Apr 14, 2015;Apr 15, 2015;1,763,753.00;382,212.00;22,926.00;206,782.00;152,504.00;1,381,541.00
Apr 15, 2015;Apr 16, 2015;1,793,549.00;469,637.25;24,030.75;258,506.00;187,100.50;1,323,911.75
Apr 16, 2015;Apr 17, 2015;1,723,949.00;288,066.75;12,885.75;113,090.00;162,091.00;1,435,882.25
Apr 17, 2015;Apr 18, 2015;1,699,249.00;236,415.75;14,561.00;111,895.75;109,959.00;1,462,833.25
Apr 18, 2015;Apr 19, 2015;1,437,699.00;274,787.75;7,798.00;86,835.25;180,154.50;1,162,911.25
Apr 19, 2015;Apr 20, 2015;1,343,501.00;244,521.75;6,508.25;51,157.25;186,856.25;1,098,979.25
Apr 20, 2015;Apr 21, 2015;1,689,949.00;296,400.25;7,162.50;95,416.25;193,821.50;1,393,548.75
Apr 21, 2015;Apr 22, 2015;1,751,968.00;394,628.25;17,937.25;175,160.50;201,530.50;1,357,339.75
Apr 22, 2015;Apr 23, 2015;1,724,290.00;286,220.50;21,210.75;101,997.25;163,012.50;1,438,069.50
Apr 23, 2015;Apr 24, 2015;1,697,546.00;252,437.50;6,544.00;67,431.00;178,462.50;1,445,108.50
Apr 24, 2015;Apr 25, 2015;1,682,909.00;264,602.50;6,290.25;57,863.00;200,449.25;1,418,306.50
Apr 25, 2015;Apr 26, 2015;1,326,392.00;254,337.00;22,689.00;139,986.50;91,661.50;1,072,055.00
Apr 26, 2015;Apr 27, 2015;1,237,436.00;194,785.25;4,886.50;70,580.75;119,318.00;1,042,650.75
Apr 27, 2015;Apr 28, 2015;1,585,391.00;219,685.25;7,003.00;109,311.50;103,370.75;1,365,705.75
Apr 28, 2015;Apr 29, 2015;1,678,952.00;236,619.00;12,770.50;118,582.50;105,266.00;1,442,333.00
Apr 29, 2015;Apr 30, 2015;1,767,188.00;347,114.50;23,798.00;134,860.25;188,456.25;1,420,073.50
Apr 30, 2015;May 1, 2015;1,682,029.00;282,040.75;13,712.75;143,053.25;125,274.75;1,399,988.25
May 1, 2015;May 2, 2015;1,215,146.00;190,376.25;7,868.50;90,174.50;92,333.25;1,024,769.75
May 2, 2015;May 3, 2015;1,244,070.00;203,751.50;4,652.75;61,475.25;137,623.50;1,040,318.50
May 3, 2015;May 4, 2015;1,206,183.00;286,087.75;23,930.50;212,208.50;49,948.75;920,095.25
May 4, 2015;May 5, 2015;1,589,203.00;321,985.00;23,604.50;188,940.75;109,439.75;1,267,218.00
May 5, 2015;May 6, 2015;1,683,179.00;510,293.25;32,175.75;359,966.50;118,151.00;1,172,885.75
May 6, 2015;May 7, 2015;1,640,635.00;474,062.75;33,204.75;276,005.25;164,852.75;1,166,572.25
May 7, 2015;May 8, 2015;1,653,147.00;483,457.75;22,361.75;289,369.25;171,726.75;1,169,689.25
May 8, 2015;May 9, 2015;1,398,211.00;222,075.75;5,740.25;35,615.50;180,720.00;1,176,135.25
May 9, 2015;May 10, 2015;1,373,902.00;412,558.75;31,756.00;256,658.50;124,144.25;961,343.25
May 10, 2015;May 11, 2015;1,334,276.00;478,554.75;18,649.75;272,116.75;187,788.25;855,721.25
May 11, 2015;May 12, 2015;1,578,656.00;374,927.00;27,986.25;146,901.50;200,039.25;1,203,729.00
May 12, 2015;May 13, 2015;1,596,094.00;423,055.00;23,299.00;233,553.75;166,202.25;1,173,039.00
May 13, 2015;May 14, 2015;1,581,798.00;493,238.00;31,126.75;269,103.25;193,008.00;1,088,560.00
May 14, 2015;May 15, 2015;1,263,508.00;281,592.50;13,807.25;89,787.50;177,997.75;981,915.50
May 15, 2015;May 16, 2015;1,343,060.00;216,296.75;5,489.00;51,977.00;158,830.75;1,126,763.25
May 16, 2015;May 17, 2015;1,309,760.00;350,487.25;25,106.75;163,759.50;161,621.00;959,272.75
May 17, 2015;May 18, 2015;1,283,431.00;417,659.50;28,923.50;244,612.00;144,124.00;865,771.50
May 18, 2015;May 19, 2015;1,491,855.00;302,762.50;24,058.25;108,044.25;170,660.00;1,189,092.50
May 19, 2015;May 20, 2015;1,582,760.00;370,619.75;25,043.50;222,250.75;123,325.50;1,212,140.25
May 20, 2015;May 21, 2015;1,511,617.00;204,791.00;13,623.75;76,920.50;114,246.75;1,306,826.00
May 21, 2015;May 22, 2015;1,540,574.00;240,780.50;9,948.00;76,945.25;153,887.25;1,299,793.50
May 22, 2015;May 23, 2015;1,455,237.00;233,919.50;12,684.25;48,169.75;173,065.50;1,221,317.50
May 23, 2015;May 24, 2015;1,175,495.00;210,920.50;9,393.75;70,357.00;131,169.75;964,574.50
May 24, 2015;May 25, 2015;1,126,062.00;192,017.25;5,710.75;23,475.75;162,830.75;934,044.75
May 25, 2015;May 26, 2015;1,138,766.00;193,585.00;6,893.50;68,881.75;117,809.75;945,181.00
May 26, 2015;May 27, 2015;1,519,431.00;306,471.00;18,619.75;149,928.00;137,923.25;1,212,960.00
May 27, 2015;May 28, 2015;1,579,303.00;300,638.75;14,076.50;139,759.25;146,803.00;1,278,664.25
May 28, 2015;May 29, 2015;1,632,425.00;399,847.50;25,957.25;216,343.50;157,546.75;1,232,577.50
May 29, 2015;May 30, 2015;1,519,867.00;268,279.00;15,950.75;107,530.75;144,797.50;1,251,588.00
May 30, 2015;May 31, 2015;1,466,739.00;493,648.75;25,961.50;313,927.50;153,759.75;973,090.25
May 31, 2015;Jun 1, 2015;1,312,149.00;391,987.50;30,107.75;212,093.75;149,786.00;920,161.50
Jun 1, 2015;Jun 2, 2015;1,544,694.00;271,423.25;24,075.50;133,135.25;114,212.50;1,273,270.75
Jun 2, 2015;Jun 3, 2015;1,687,111.00;578,141.75;36,065.25;384,489.50;157,587.00;1,108,969.25
Jun 3, 2015;Jun 4, 2015;1,652,768.00;523,900.00;30,412.00;328,456.50;165,031.50;1,128,868.00
Jun 4, 2015;Jun 5, 2015;1,403,018.00;268,328.50;5,883.00;43,937.00;218,508.50;1,134,689.50
Jun 5, 2015;Jun 6, 2015;1,535,193.00;382,708.00;25,383.75;132,264.25;225,060.00;1,152,485.00
Jun 6, 2015;Jun 7, 2015;1,372,483.00;352,409.25;27,285.75;145,056.75;180,066.75;1,020,073.75
Jun 7, 2015;Jun 8, 2015;1,264,031.00;296,732.00;22,920.75;103,143.00;170,668.25;967,299.00
Jun 8, 2015;Jun 9, 2015;1,621,142.00;311,148.00;19,013.00;136,990.75;155,144.25;1,309,994.00
Jun 9, 2015;Jun 10, 2015;1,624,668.00;254,657.00;19,053.75;106,562.75;129,040.50;1,370,011.00
Jun 10, 2015;Jun 11, 2015;1,662,487.00;280,511.75;10,468.00;78,559.50;191,484.25;1,381,975.25
