Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;53,233,815.00;10,171,145.75;304,448.50;9,372,303.25;587,677.75;43,050,922.25
Feb 1, 2015;Mar 1, 2015;48,791,499.00;6,552,376.75;289,890.75;4,908,328.75;1,354,157.25;42,239,122.25
Mar 1, 2015;Apr 1, 2015;52,551,563.00;10,065,431.25;437,043.75;6,724,485.50;2,903,902.00;42,486,131.75
Apr 1, 2015;May 1, 2015;47,957,013.00;9,450,116.25;395,036.50;4,669,442.50;4,385,637.25;38,506,896.75
May 1, 2015;Jun 1, 2015;44,346,539.00;10,250,728.00;597,712.25;5,076,853.00;4,576,162.75;34,095,811.00
Jun 1, 2015;Jul 1, 2015;45,609,779.00;8,955,114.25;539,843.50;3,667,955.25;4,747,315.50;36,654,664.75
Jul 1, 2015;Aug 1, 2015;47,765,529.00;11,236,676.75;797,713.75;5,377,379.25;5,061,583.75;36,528,852.25
Aug 1, 2015;Sep 1, 2015;47,123,871.00;8,792,928.50;692,635.25;3,365,967.50;4,734,325.75;38,330,942.50
Sep 1, 2015;Oct 1, 2015;48,496,445.00;9,096,846.50;907,844.25;4,871,636.75;3,317,365.50;39,399,598.50
Oct 1, 2015;Nov 1, 2015;49,501,088.00;6,659,908.50;964,162.00;3,641,841.50;2,053,905.00;42,841,179.50
Nov 1, 2015;Dec 1, 2015;51,485,833.00;13,076,255.00;1,397,871.00;10,581,632.50;1,096,751.50;38,409,578.00
Dec 1, 2015;Jan 1, 2016;50,547,607.00;12,996,051.75;1,443,869.00;10,736,949.25;815,233.50;37,551,555.25
Jan 1, 2016;Feb 1, 2016;53,101,666.00;9,810,548.75;1,338,551.00;7,811,890.00;660,107.75;43,291,117.25
Feb 1, 2016;Mar 1, 2016;50,165,702.00;10,890,579.50;1,127,179.25;8,414,371.25;1,349,029.00;39,275,122.50
Mar 1, 2016;Apr 1, 2016;50,711,362.00;7,952,565.25;852,787.75;4,695,524.75;2,404,252.75;42,758,796.75
Apr 1, 2016;May 1, 2016;46,395,906.00;9,762,598.00;867,364.25;5,010,152.25;3,885,081.50;36,633,308.00
May 1, 2016;Jun 1, 2016;45,936,455.00;10,988,248.75;1,000,379.75;5,089,399.25;4,898,469.75;34,948,206.25
Jun 1, 2016;Jul 1, 2016;44,750,045.00;8,070,563.50;542,956.25;2,916,031.25;4,611,576.00;36,679,481.50
Jul 1, 2016;Aug 1, 2016;46,324,629.00;9,792,317.00;790,844.25;3,995,869.50;5,005,603.25;36,532,312.00
Aug 1, 2016;Sep 1, 2016;46,938,249.00;9,614,476.00;865,682.25;3,948,147.50;4,800,646.25;37,323,773.00
Sep 1, 2016;Oct 1, 2016;48,731,958.00;8,130,155.00;716,359.50;3,538,969.50;3,874,826.00;40,601,803.00
Oct 1, 2016;Nov 1, 2016;49,589,642.00;7,346,419.50;1,269,825.50;4,315,250.75;1,761,343.25;42,243,222.50
Nov 1, 2016;Dec 1, 2016;50,253,218.00;8,821,896.75;1,288,115.25;6,453,329.00;1,080,452.50;41,431,321.25
Dec 1, 2016;Jan 1, 2017;49,646,032.00;10,184,391.00;1,324,475.50;8,019,351.75;840,563.75;39,461,641.00
Jan 1, 2017;Feb 1, 2017;52,290,624.00;8,661,893.75;1,192,004.00;6,734,042.00;735,847.75;43,628,730.25
Feb 1, 2017;Mar 1, 2017;45,369,391.00;11,149,395.00;1,873,375.00;7,846,562.25;1,429,457.75;34,219,996.00
Mar 1, 2017;Apr 1, 2017;44,967,472.00;12,299,688.75;1,501,443.00;7,650,675.25;3,147,570.50;32,667,783.25
