Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2015;Jan 1, 2016;587,410,581.00;117,303,579.25;8,768,070.50;72,994,775.00;35,634,017.50;470,095,254.75
Jan 1, 2016;Jan 1, 2017;582,544,864.00;111,364,759.00;11,984,520.50;64,208,286.75;35,171,951.75;471,180,105.00
Jan 1, 2017;Jan 1, 2018;530,381,058.00;137,352,874.25;17,280,657.50;84,326,911.50;35,745,305.25;393,028,183.75
Jan 1, 2018;Jan 1, 2019;522,446,987.00;149,077,924.50;19,209,128.00;88,504,252.25;41,364,544.25;373,369,062.50
Jan 1, 2019;Jan 1, 2020;495,071,773.00;164,562,976.00;24,600,556.25;98,395,341.50;41,567,078.25;330,508,797.00
Jan 1, 2020;Jan 1, 2021;454,443,284.00;175,508,196.25;27,198,254.50;102,443,714.25;45,866,227.50;278,935,087.75
Jan 1, 2021;Jan 1, 2022;480,669,274.00;160,013,291.00;23,977,255.75;89,341,902.75;46,694,132.50;320,655,983.00
Jan 1, 2022;Jan 1, 2023;494,131,299.00;179,407,382.00;24,855,011.50;99,150,611.00;55,401,759.50;314,665,794.00
Jan 1, 2023;Jan 1, 2024;444,354,954.00;197,251,531.25;23,210,044.00;118,559,550.25;55,481,937.00;247,103,422.75
Jan 1, 2024;Jan 1, 2025;-;-;-;-;-;-
