Datum von;Datum bis;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen
01.01.2015;02.01.2015;-;-;-;-
02.01.2015;03.01.2015;-;-;-;-
03.01.2015;04.01.2015;-;-;-;-
04.01.2015;05.01.2015;-;-;-;-
05.01.2015;06.01.2015;-;-;-;-
06.01.2015;07.01.2015;-;-;-;-
07.01.2015;08.01.2015;-;-;-;-
08.01.2015;09.01.2015;-;-;-;-
09.01.2015;10.01.2015;-;-;-;-
10.01.2015;11.01.2015;-;-;-;-
11.01.2015;12.01.2015;-;-;-;-
12.01.2015;13.01.2015;-;-;-;-
13.01.2015;14.01.2015;-;-;-;-
14.01.2015;15.01.2015;-;-;-;-
15.01.2015;16.01.2015;-;-;-;-
16.01.2015;17.01.2015;-;-;-;-
17.01.2015;18.01.2015;-;-;-;-
18.01.2015;19.01.2015;-;-;-;-
19.01.2015;20.01.2015;-;-;-;-
20.01.2015;21.01.2015;-;-;-;-
21.01.2015;22.01.2015;-;-;-;-
22.01.2015;23.01.2015;-;-;-;-
23.01.2015;24.01.2015;-;-;-;-
24.01.2015;25.01.2015;-;-;-;-
25.01.2015;26.01.2015;-;-;-;-
26.01.2015;27.01.2015;-;-;-;-
27.01.2015;28.01.2015;-;-;-;-
28.01.2015;29.01.2015;-;-;-;-
29.01.2015;30.01.2015;-;-;-;-
30.01.2015;31.01.2015;-;-;-;-
31.01.2015;01.02.2015;-;-;-;-
01.02.2015;02.02.2015;-;-;-;-
02.02.2015;03.02.2015;-;-;-;-
03.02.2015;04.02.2015;-;-;-;-
04.02.2015;05.02.2015;-;-;-;-
05.02.2015;06.02.2015;-;-;-;-
06.02.2015;07.02.2015;-;-;-;-
07.02.2015;08.02.2015;-;-;-;-
08.02.2015;09.02.2015;-;-;-;-
09.02.2015;10.02.2015;-;-;-;-
10.02.2015;11.02.2015;-;-;-;-
11.02.2015;12.02.2015;-;-;-;-
