Datum von;Datum bis;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen
01.01.2015;01.02.2015;-;-;-;-
01.02.2015;01.03.2015;-;-;-;-
01.03.2015;01.04.2015;-;-;-;-
01.04.2015;01.05.2015;-;-;-;-
01.05.2015;01.06.2015;-;-;-;-
01.06.2015;01.07.2015;-;-;-;-
01.07.2015;01.08.2015;-;-;-;-
01.08.2015;01.09.2015;-;-;-;-
01.09.2015;01.10.2015;-;-;-;-
01.10.2015;01.11.2015;-;-;-;-
01.11.2015;01.12.2015;-;-;-;-
01.12.2015;01.01.2016;-;-;-;-
01.01.2016;01.02.2016;6.077.021,25;1.241.459,50;4.583.399,50;252.162,25
01.02.2016;01.03.2016;5.786.966,75;1.024.511,75;4.259.224,00;503.231,00
01.03.2016;01.04.2016;4.343.976,50;781.693,00;2.654.507,00;907.776,50
01.04.2016;01.05.2016;4.795.987,75;762.040,50;2.620.825,75;1.413.121,50
01.05.2016;01.06.2016;4.921.575,50;870.523,50;2.241.881,00;1.809.171,00
01.06.2016;01.07.2016;3.486.867,25;468.508,25;1.303.318,00;1.715.041,00
01.07.2016;01.08.2016;4.358.369,00;712.861,75;1.700.777,50;1.944.729,75
01.08.2016;01.09.2016;4.402.237,50;774.408,75;1.772.073,00;1.855.755,75
01.09.2016;01.10.2016;3.609.055,25;639.686,00;1.460.179,00;1.509.190,25
01.10.2016;01.11.2016;3.527.978,25;1.132.349,25;1.704.059,50;691.569,50
01.11.2016;01.12.2016;4.309.719,75;1.175.556,75;2.723.427,75;410.735,25
01.12.2016;01.01.2017;4.890.218,25;1.206.396,50;3.382.654,25;301.167,50
01.01.2017;01.02.2017;4.099.226,25;1.095.461,00;2.748.999,00;254.766,25
01.02.2017;01.03.2017;5.953.495,75;1.748.735,25;3.627.382,50;577.378,00
01.03.2017;01.04.2017;5.758.859,00;1.386.971,25;3.116.861,50;1.255.026,25
01.04.2017;01.05.2017;5.592.823,25;1.270.406,75;2.907.370,75;1.415.045,75
01.05.2017;01.06.2017;4.958.708,75;1.083.047,25;2.018.940,50;1.856.721,00
01.06.2017;01.07.2017;5.685.111,00;1.112.491,25;2.496.397,50;2.076.222,25
01.07.2017;01.08.2017;4.599.303,25;829.353,00;1.918.336,50;1.851.613,75
01.08.2017;01.09.2017;4.627.695,50;942.596,25;1.946.640,75;1.738.458,50
01.09.2017;01.10.2017;4.141.609,50;871.201,25;2.131.257,00;1.139.151,25
01.10.2017;01.11.2017;7.047.595,75;2.043.443,25;4.266.945,75;737.206,75
01.11.2017;01.12.2017;5.275.770,25;1.453.246,50;3.487.295,75;335.228,00
01.12.2017;01.01.2018;7.990.832,00;1.779.046,50;5.976.410,25;235.375,25
01.01.2018;01.02.2018;14.997.593,50;1.805.248,00;12.493.823,00;698.522,50
01.02.2018;01.03.2018;9.549.001,50;1.442.547,25;6.298.006,25;1.808.448,00
01.03.2018;01.04.2018;13.222.082,00;1.673.730,75;8.958.826,50;2.589.524,75
01.04.2018;01.05.2018;13.713.645,75;1.628.531,25;7.268.741,75;4.816.372,75
01.05.2018;01.06.2018;13.213.366,75;1.428.925,50;5.846.910,00;5.937.531,25
01.06.2018;01.07.2018;11.023.813,75;1.096.201,00;4.640.708,50;5.286.904,25
01.07.2018;01.08.2018;10.533.617,25;775.014,75;3.559.014,25;6.199.588,25
01.08.2018;01.09.2018;11.291.128,25;983.756,00;5.106.771,50;5.200.600,75
01.09.2018;01.10.2018;12.017.523,25;1.813.464,25;6.161.477,00;4.042.582,00
01.10.2018;01.11.2018;13.561.460,00;2.179.211,00;8.581.142,25;2.801.106,75
01.11.2018;01.12.2018;10.960.665,50;2.070.714,75;7.621.843,50;1.268.107,25
01.12.2018;01.01.2019;14.824.856,75;2.399.695,00;11.900.363,00;524.798,75
01.01.2019;01.02.2019;15.364.114,75;2.304.338,00;12.333.563,00;726.213,75
01.02.2019;01.03.2019;12.766.419,25;2.036.901,00;8.608.125,00;2.121.393,25
01.03.2019;01.04.2019;19.035.236,25;2.588.686,00;13.477.854,75;2.968.695,50
01.04.2019;01.05.2019;14.227.113,25;1.736.580,25;7.283.033,00;5.207.500,00
01.05.2019;01.06.2019;13.039.267,50;1.762.884,00;6.402.368,00;4.874.015,50
01.06.2019;01.07.2019;13.263.647,25;1.541.505,50;5.237.405,50;6.484.736,25
01.07.2019;01.08.2019;12.319.510,00;1.699.028,50;4.879.155,25;5.741.326,25
01.08.2019;01.09.2019;10.956.308,25;1.345.933,50;4.397.047,75;5.213.327,00
01.09.2019;01.10.2019;12.916.984,75;2.053.852,50;6.997.694,00;3.865.438,25
01.10.2019;01.11.2019;13.889.923,00;2.279.664,25;9.130.660,50;2.479.598,25
01.11.2019;01.12.2019;11.130.664,25;2.175.257,50;7.875.838,75;1.079.568,00
01.12.2019;01.01.2020;15.819.175,50;3.042.898,75;11.869.172,75;907.104,00
01.01.2020;01.02.2020;16.962.596,00;3.259.271,25;12.550.042,00;1.153.282,75
01.02.2020;01.03.2020;21.859.840,25;3.013.758,75;17.155.545,50;1.690.536,00
01.03.2020;01.04.2020;17.937.688,25;2.624.579,00;11.244.143,25;4.068.966,00
01.04.2020;01.05.2020;15.150.070,25;1.928.555,75;6.873.615,25;6.347.899,25
01.05.2020;01.06.2020;13.936.995,75;1.634.087,25;6.129.047,50;6.173.861,00
01.06.2020;01.07.2020;12.205.143,75;1.482.876,00;5.006.496,50;5.715.771,25
01.07.2020;01.08.2020;13.269.756,50;1.557.490,75;5.432.124,75;6.280.141,00
01.08.2020;01.09.2020;12.124.541,75;1.590.606,75;5.097.463,25;5.436.471,75
01.09.2020;01.10.2020;10.917.393,75;1.618.746,25;4.648.130,00;4.650.517,50
01.10.2020;01.11.2020;15.866.580,25;2.942.908,50;10.730.934,75;2.192.737,00
01.11.2020;01.12.2020;12.791.557,50;2.602.669,75;8.631.263,25;1.557.624,50
01.12.2020;01.01.2021;12.276.283,75;2.528.168,75;9.070.021,25;678.093,75
01.01.2021;01.02.2021;12.129.846,75;2.245.551,25;9.256.873,75;627.421,75
01.02.2021;01.03.2021;13.195.198,75;2.719.882,00;8.466.722,25;2.008.594,50
01.03.2021;01.04.2021;15.505.372,50;2.350.638,75;9.064.518,25;4.090.215,50
01.04.2021;01.05.2021;14.951.831,75;1.863.493,25;7.657.293,00;5.431.045,50
01.05.2021;01.06.2021;15.851.612,75;1.338.960,75;8.711.096,50;5.801.555,50
01.06.2021;01.07.2021;11.514.656,00;1.028.025,25;3.390.074,75;7.096.556,00
01.07.2021;01.08.2021;12.276.896,00;1.256.415,00;4.709.170,25;6.311.310,75
01.08.2021;01.09.2021;13.306.874,25;1.824.499,25;6.182.632,75;5.299.742,25
01.09.2021;01.10.2021;10.718.073,50;1.357.227,75;4.479.574,75;4.881.271,00
01.10.2021;01.11.2021;16.246.685,25;2.875.615,00;10.097.462,75;3.273.607,50
01.11.2021;01.12.2021;11.279.923,25;2.454.542,50;7.674.611,00;1.150.769,75
01.12.2021;01.01.2022;12.848.278,75;2.473.634,50;9.690.988,50;683.655,75
01.01.2022;01.02.2022;17.039.431,50;3.202.699,50;12.848.954,00;987.778,00
01.02.2022;01.03.2022;22.384.899,75;3.158.614,25;17.015.404,00;2.210.881,50
01.03.2022;01.04.2022;13.558.666,50;1.438.584,50;6.469.428,75;5.650.653,25
01.04.2022;01.05.2022;16.475.997,25;1.874.028,00;9.137.598,00;5.464.371,25
01.05.2022;01.06.2022;15.157.966,75;1.503.226,50;6.215.402,50;7.439.337,75
01.06.2022;01.07.2022;13.077.060,50;1.132.932,25;4.171.440,25;7.772.688,00
01.07.2022;01.08.2022;14.987.882,50;1.734.118,75;5.349.911,00;7.903.852,75
01.08.2022;01.09.2022;11.573.380,00;941.223,00;3.282.657,50;7.349.499,50
01.09.2022;01.10.2022;12.588.542,75;1.902.496,25;5.931.004,75;4.755.041,75
01.10.2022;01.11.2022;14.725.960,75;2.517.672,50;8.513.373,00;3.694.915,25
01.11.2022;01.12.2022;14.704.566,50;2.825.900,50;10.114.170,00;1.764.496,00
01.12.2022;01.01.2023;12.861.977,50;2.586.634,75;9.515.181,25;760.161,50
01.01.2023;01.02.2023;18.254.362,25;2.782.452,25;14.560.005,25;911.904,75
01.02.2023;01.03.2023;14.397.905,00;1.683.560,00;10.338.222,25;2.376.122,75
01.03.2023;01.04.2023;18.434.821,50;2.359.825,50;12.418.010,50;3.656.985,50
01.04.2023;01.05.2023;15.643.410,00;1.750.400,50;8.363.800,25;5.529.209,25
01.05.2023;01.06.2023;16.241.390,25;1.584.766,50;6.687.024,00;7.969.599,75
01.06.2023;01.07.2023;14.711.843,00;1.073.235,75;4.802.882,25;8.835.725,00
01.07.2023;01.08.2023;17.944.245,50;1.761.858,75;8.491.823,25;7.690.563,50
01.08.2023;01.09.2023;13.551.838,75;1.130.643,00;5.785.886,50;6.635.309,25
01.09.2023;01.10.2023;13.256.086,75;1.303.206,00;5.270.965,25;6.681.915,50
01.10.2023;01.11.2023;17.529.246,00;2.525.149,25;11.632.965,50;3.371.131,25
