Start date;End date;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions
Jan 1, 2015;Jan 1, 2016;-;-;-;-
Jan 1, 2016;Jan 1, 2017;54,509,973.00;10,789,995.50;30,406,326.25;13,313,651.25
Jan 1, 2017;Jan 1, 2018;65,731,030.25;15,615,999.50;36,642,837.75;13,472,193.00
Jan 1, 2018;Jan 1, 2019;148,908,754.25;19,297,039.50;88,437,627.50;41,174,087.25
Jan 1, 2019;Jan 1, 2020;164,728,364.00;24,567,529.75;98,491,918.25;41,668,916.00
Jan 1, 2020;Jan 1, 2021;175,298,447.75;26,783,718.75;102,568,827.25;45,945,901.75
Jan 1, 2021;Jan 1, 2022;159,825,249.50;23,788,485.25;89,381,018.50;46,655,745.75
Jan 1, 2022;Jan 1, 2023;179,136,332.25;24,818,130.75;98,564,525.00;55,753,676.50
Jan 1, 2023;Jan 1, 2024;197,792,474.25;23,050,074.50;118,858,001.50;55,884,398.25
Jan 1, 2024;Jan 1, 2025;-;-;-;-
