Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
05.01.2015;12.01.2015;674.258,25;269.184,75;62.518,50;2.833.298,25;132.232,50;22.171,00;1.858.456,25;2.397.488,25;1.126.027,75;252.197,25;184.310,00;1.271.084,00
12.01.2015;19.01.2015;681.273,50;278.063,50;69.017,25;2.573.815,00;172.052,00;21.491,50;1.866.435,25;2.716.830,50;1.348.851,50;245.890,75;191.200,75;732.430,75
19.01.2015;26.01.2015;680.983,50;272.720,00;30.118,75;438.210,25;97.128,00;23.099,00;1.908.721,00;3.134.065,00;1.993.436,75;498.103,75;211.981,75;1.564.101,50
26.01.2015;02.02.2015;682.815,25;245.358,75;59.826,00;1.623.529,00;130.885,50;22.892,50;1.872.986,00;2.817.390,75;1.870.742,00;344.270,00;193.464,00;1.457.899,50
02.02.2015;09.02.2015;682.961,25;227.826,25;55.713,00;1.255.805,50;254.386,25;22.850,00;1.874.212,25;2.809.255,25;1.940.197,00;506.887,25;189.596,75;1.505.073,25
09.02.2015;16.02.2015;678.681,00;211.060,75;65.462,75;935.814,25;300.430,50;22.713,00;1.900.264,25;2.858.149,50;2.083.025,75;427.115,50;185.491,50;1.496.358,50
16.02.2015;23.02.2015;668.638,25;208.700,50;81.507,75;1.323.239,50;385.706,25;20.088,75;1.861.752,00;2.692.688,25;2.017.689,25;362.473,50;189.178,25;1.425.267,50
23.02.2015;02.03.2015;668.865,25;215.901,00;93.699,50;1.671.686,50;442.489,50;16.714,75;1.834.265,50;2.839.987,75;1.703.498,75;316.932,25;198.025,75;1.389.204,25
02.03.2015;09.03.2015;669.914,75;239.995,00;119.150,25;1.983.999,75;620.975,25;17.588,50;1.803.758,25;2.904.910,50;1.486.819,25;283.523,00;202.157,25;1.195.165,25
09.03.2015;16.03.2015;661.761,75;220.848,75;88.556,50;865.828,50;625.070,25;14.321,00;1.668.527,25;2.835.489,25;1.963.943,25;305.871,75;186.303,75;1.389.473,50
16.03.2015;23.03.2015;664.829,25;224.449,50;71.062,50;951.816,75;820.167,75;16.624,50;1.627.021,25;2.843.533,50;1.759.954,75;315.841,50;221.179,00;1.290.577,25
23.03.2015;30.03.2015;662.265,75;229.404,00;84.237,75;1.172.565,00;595.856,25;16.721,50;1.509.356,50;2.657.308,50;1.833.437,00;339.553,75;214.262,25;1.159.713,75
30.03.2015;06.04.2015;670.887,75;294.999,75;113.830,00;2.376.099,75;728.685,50;22.175,75;1.588.590,25;2.290.702,00;773.310,25;261.173,00;188.932,50;925.058,50
06.04.2015;13.04.2015;670.381,25;271.516,25;65.143,50;924.533,75;1.025.352,75;24.083,00;1.551.528,50;2.467.738,75;1.392.663,75;218.352,25;173.013,50;1.128.658,00
13.04.2015;20.04.2015;661.982,00;297.125,25;111.871,75;1.195.978,50;1.127.336,75;19.058,75;1.612.232,75;2.369.342,25;1.369.095,25;193.097,00;203.061,25;1.012.499,75
20.04.2015;27.04.2015;661.477,50;278.665,75;80.329,50;700.819,50;1.171.343,50;21.691,75;1.628.312,00;2.328.359,00;1.526.482,75;151.698,75;194.503,50;1.099.436,00
27.04.2015;04.05.2015;667.536,00;316.900,25;90.049,25;793.740,50;877.957,75;21.960,50;1.589.458,75;2.146.989,00;1.393.235,75;177.545,50;195.375,25;971.332,25
04.05.2015;11.05.2015;659.403,75;341.928,25;174.292,50;1.566.357,75;1.025.081,00;19.047,25;1.582.605,25;2.107.666,25;945.841,75;176.695,00;203.465,75;818.795,00
11.05.2015;18.05.2015;659.281,25;351.958,00;132.687,75;1.093.919,75;1.106.705,25;17.600,00;1.600.175,50;2.047.739,50;680.891,50;200.256,75;199.398,00;812.800,00
18.05.2015;25.05.2015;667.326,75;352.799,25;77.539,25;623.172,00;993.065,00;17.532,50;1.586.224,25;1.972.409,25;1.272.489,50;210.279,75;201.884,00;1.013.573,75
25.05.2015;01.06.2015;672.372,00;346.273,00;147.356,25;1.130.152,25;951.270,00;17.499,00;1.506.702,25;1.969.059,75;1.149.876,25;204.564,50;213.203,00;912.329,00
01.06.2015;08.06.2015;646.437,00;341.364,25;143.657,25;1.325.733,75;1.266.447,50;15.758,25;1.512.389,75;2.178.662,50;760.981,50;195.164,25;220.741,00;836.611,75
08.06.2015;15.06.2015;640.159,50;341.470,00;88.098,25;637.418,50;1.041.933,75;18.396,25;1.497.759,75;2.273.396,00;1.403.511,50;194.292,50;199.731,50;1.111.758,25
15.06.2015;22.06.2015;640.433,00;368.075,25;159.358,75;828.997,25;871.460,25;19.499,00;1.408.322,50;2.255.897,25;1.405.507,00;174.473,25;195.853,75;988.606,75
22.06.2015;29.06.2015;639.558,50;358.154,50;82.666,75;736.738,00;982.844,75;19.721,00;1.441.022,75;2.387.962,75;1.584.853,50;167.861,50;191.527,75;1.075.462,75
29.06.2015;06.07.2015;635.577,00;356.539,00;92.672,75;621.404,75;1.381.248,00;16.690,00;1.288.860,50;2.369.356,75;1.755.502,25;224.958,25;248.499,00;1.106.055,75
06.07.2015;13.07.2015;636.154,75;332.496,50;176.806,00;1.349.211,50;1.175.823,00;15.872,25;1.075.109,50;2.397.572,75;1.323.917,25;217.478,75;185.084,25;924.642,25
13.07.2015;20.07.2015;641.329,75;311.087,25;101.404,25;695.555,50;956.254,75;16.112,00;1.089.844,75;2.556.783,25;1.728.013,50;221.122,00;203.146,50;1.134.778,25
20.07.2015;27.07.2015;629.588,50;302.448,25;153.661,00;1.140.263,75;1.098.871,50;16.662,25;1.116.674,25;2.504.630,25;1.406.793,50;358.226,75;175.692,75;1.046.079,75
27.07.2015;03.08.2015;624.571,00;276.009,00;199.646,00;1.529.018,50;1.036.975,00;15.892,75;1.275.070,00;2.591.357,75;749.008,50;242.364,25;161.375,00;650.492,00
03.08.2015;10.08.2015;619.820,00;281.653,00;78.805,00;647.859,00;1.233.964,50;14.832,25;1.359.844,50;2.638.781,75;1.389.896,50;188.404,75;186.087,25;737.413,50
10.08.2015;17.08.2015;621.690,25;276.782,25;107.752,25;687.742,25;977.931,75;14.996,50;1.625.460,00;2.522.897,00;1.701.524,25;201.591,00;170.260,75;732.269,50
17.08.2015;24.08.2015;635.370,75;283.767,50;140.088,50;641.819,50;903.339,75;14.202,50;1.741.652,50;2.717.992,75;1.421.727,75;167.774,25;164.338,75;788.487,00
24.08.2015;31.08.2015;638.523,75;256.948,25;219.569,75;1.135.311,50;989.085,75;14.664,25;1.729.387,75;2.732.579,25;1.447.878,25;189.513,75;189.606,50;746.671,50
31.08.2015;07.09.2015;639.526,00;275.748,25;291.155,50;1.482.360,50;789.398,25;14.036,75;1.707.666,75;2.442.280,00;1.704.337,25;194.898,75;193.293,25;860.688,00
07.09.2015;14.09.2015;651.559,75;245.966,50;132.275,75;772.151,00;857.141,25;14.726,50;1.752.911,25;2.961.117,50;1.827.773,25;171.082,75;157.393,00;748.678,25
14.09.2015;21.09.2015;651.918,00;251.384,75;232.950,25;1.550.531,25;620.422,25;13.864,75;1.735.940,25;2.904.451,00;1.432.579,25;198.045,25;157.004,50;1.416.948,50
21.09.2015;28.09.2015;651.999,00;243.499,00;121.358,50;659.961,00;693.724,75;15.873,25;1.675.347,25;3.005.478,00;2.107.666,50;247.798,50;175.665,75;739.395,00
28.09.2015;05.10.2015;652.615,50;219.963,50;29.339,50;675.684,00;969.224,25;15.749,25;1.560.740,75;2.990.173,75;2.166.439,00;199.829,00;201.055,25;948.325,50
05.10.2015;12.10.2015;661.184,50;238.922,75;229.055,00;998.695,75;484.109,75;14.493,75;1.363.126,75;2.960.299,00;2.042.630,25;339.977,75;178.388,50;788.209,50
12.10.2015;19.10.2015;666.781,75;231.223,50;290.308,50;526.612,75;276.830,00;15.622,25;1.344.729,00;2.830.416,50;2.449.787,50;497.366,75;199.810,75;1.039.630,50
19.10.2015;26.10.2015;678.301,50;227.335,75;201.172,00;660.520,00;319.057,50;15.537,50;1.574.194,00;2.900.315,25;2.238.355,75;401.938,25;191.948,75;1.227.759,25
26.10.2015;02.11.2015;673.252,50;205.533,00;148.272,50;706.768,75;416.775,00;16.094,00;1.798.131,50;2.878.440,25;2.017.910,00;459.080,25;183.582,00;931.703,25
02.11.2015;09.11.2015;671.845,00;181.671,50;184.349,00;941.203,00;425.681,00;17.200,50;1.762.267,00;2.769.521,75;2.006.866,25;436.693,25;170.712,50;975.196,50
09.11.2015;16.11.2015;668.419,50;172.703,00;404.426,50;3.007.517,00;258.359,00;12.527,50;1.712.865,50;2.276.714,25;1.385.551,00;348.664,50;182.579,00;841.684,00
16.11.2015;23.11.2015;673.667,50;192.394,00;343.760,75;2.731.943,50;196.720,75;14.549,25;1.746.520,75;2.658.744,25;1.386.281,75;415.156,50;194.589,50;829.154,50
23.11.2015;30.11.2015;676.569,75;209.646,25;314.344,50;1.943.214,50;156.702,25;19.676,75;1.749.325,75;2.657.228,00;1.984.359,75;599.601,25;197.156,00;1.026.164,25
30.11.2015;07.12.2015;749.262,50;235.970,00;358.436,75;2.964.546,00;163.984,75;17.839,50;1.733.108,75;2.299.126,00;1.617.529,25;431.054,50;177.136,75;853.302,75
07.12.2015;14.12.2015;780.607,75;203.042,25;232.506,25;2.006.270,00;210.738,25;20.145,50;1.770.293,00;2.705.558,50;1.957.861,25;460.652,75;175.263,00;849.777,00
