Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;01.01.2016;34.847.925,75;13.719.344,00;8.134.378,25;69.042.093,25;34.879.418,00;945.629,75;84.363.546,00;133.797.737,75;81.138.682,00;15.225.937,75;9.937.217,50;52.968.562,50
01.01.2016;01.01.2017;39.745.459,00;18.075.859,50;12.093.138,00;65.274.745,25;34.538.936,25;1.403.463,00;80.242.466,25;130.375.596,75;80.889.964,00;22.888.796,25;8.587.613,25;47.246.327,00
01.01.2017;01.01.2018;40.328.389,50;15.590.070,50;17.414.191,50;85.190.050,75;35.883.181,00;1.754.386,25;72.213.976,50;129.286.596,75;66.005.509,50;25.580.368,00;9.290.780,25;12.013.192,00
01.01.2018;01.01.2019;40.090.463,00;15.257.652,75;19.068.415,50;89.270.552,25;41.234.274,50;1.531.134,75;71.841.657,00;128.329.972,75;71.545.262,50;42.878.209,50;9.135.983,50;12.085.127,00
01.01.2019;01.01.2020;40.387.606,50;15.830.486,00;24.382.827,00;99.878.949,00;41.759.063,25;1.464.378,75;71.042.164,25;102.728.678,00;47.815.284,50;54.619.705,25;9.020.582,75;13.225.241,75
01.01.2020;01.01.2021;40.822.337,25;15.583.446,25;26.883.159,25;103.103.956,25;45.822.248,75;1.607.736,75;60.923.886,25;83.374.010,00;34.871.983,75;59.125.990,25;11.528.660,00;12.753.899,75
01.01.2021;01.01.2022;39.460.166,75;14.457.191,25;24.010.320,50;89.411.981,50;46.606.884,75;1.542.812,00;65.405.986,50;98.202.233,25;51.841.756,25;52.405.148,00;8.721.439,25;13.098.558,75
01.01.2022;01.01.2023;39.469.667,75;12.381.968,50;24.747.841,00;100.566.652,00;55.667.092,25;1.223.483,75;32.824.469,50;103.525.587,00;62.889.869,75;38.176.219,50;10.603.312,25;11.515.547,00
01.01.2023;01.01.2024;37.825.569,00;14.419.062,25;23.519.929,50;118.782.351,75;55.717.408,75;1.167.527,25;6.740.739,25;77.844.056,25;39.750.012,75;50.143.031,25;11.149.398,50;11.591.475,75
01.01.2024;01.01.2025;-;-;-;-;-;-;-;-;-;-;-;-
